parts,dc.title,alternative_title,dc.publisher,dates_of_publication,dc.subject,dc.date,dc.description,frequency,dc.language,forms_part_of,repository,project_website,digital_file_format
objects/Jan021964 ,"Coast News, January 02, 1964 ",Sunshine Coast News ,Fred Cruice ,1945-1995 ,Gibsons (B.C.)–Newspapers ,1964/01/02 ,Serving the Growing Sunshine Coast ,Weekly ,English ,British Columbia Historical Newspapers collection ,Sunshine Coast Museum and Archives ,https://open.library.ubc.ca/collections/bcnewspapers ,image/jp2
objects/Jan091964 ,"Coast News, January 09, 1964 ",Sunshine Coast News ,Fred Cruice ,1945-1995 ,Gibsons (B.C.)–Newspapers ,1964/01/09 ,Serving the Growing Sunshine Coast ,Weekly ,English ,British Columbia Historical Newspapers collection ,Sunshine Coast Museum and Archives ,https://open.library.ubc.ca/collections/bcnewspapers ,image/jp2
