filename,dc.title,dc.creator,dc.subject,dc.subject,dc.subject,dc.description,dc.publisher,dc.date,dc.type,dc.format,dc.source,dc.rights
data/beihai.tif,"Beihai, Guanxi, China, 1988 ",NASA/GSFC/METI/ERSDAC/ JAROS and U.S./Japan ASTER Science Team ,China ,Beihai ,  ,"Beihai is a city in the south of Guangxi, People’s republic of China. ",NASA Jet Propulsion Laboratory ,"February 29, 2016 ",image ,image.tif ,NASA Jet Propulsion Laboratory ,Public domain
data/audio/bird.mp3,"14000 Caen, France - Bird in my garden ",Nicolas Germain ,field recording ,soundscapes ,radio aporee ,"Bird singing in my garden, Caen, France, Zoom H6 ",Radio Aporee ,2017-05-27 ,sound ,audio/mp3 ,Internet Archive ,Public domain
