filename,dc.title,dc.publisher,dc.subject,dc.date,dc.description,dc.language,dc.source
objects/CoastNews-1964-01-02,"Coast News, January 02, 1964 ",Fred Cruice ,Gibsons (B.C.)–Newspapers ,1964/01/02 ,"Scans of the January 2, 1964 issue of the Coast News.",English ,"British Columbia Historical Newspapers collection, https://open.library.ubc.ca/collections/bcnewspapers/xcoastnews"
objects/CoastNews-1964-01-09,"Coast News, January 09, 1964 ",Fred Cruice ,Gibsons (B.C.)–Newspapers ,1964/01/09 ,"Scans of the January 9, 1964 issue of the Coast News.",English ,"British Columbia Historical Newspapers collection, https://open.library.ubc.ca/collections/bcnewspapers/xcoastnews"
